transaction_id,product_id,customer_id,transaction_date,online_transaction,offline_transaction,order_status,brand,product_line,product_class,product_size,standard_cost,address,postcode,state,country,Unnamed: 13
1,2,2950,25-02-2022,F,T,Approved,Solex,Standard,medium,medium,$53.62,984 Hoepker Court,3064.0,VIC,Australia,
2,3,3120,21-05-2022,T,F,Approved,Trek Bicycles,Standard,medium,large,$388.92,4 Shopko Circle,2196.0,NSW,Australia,
3,37,402,16-10-2022,F,T,Approved,OHM Cycles,Standard,low,medium,$248.82,586 Miller Parkway,2835.0,NSW,Australia,
4,88,3135,31-08-2022,F,T,Approved,Norco Bicycles,Standard,medium,medium,$381.10,1617 Harper Parkway,2096.0,NSW,Australia,
5,78,787,01-10-2022,T,F,Approved,Giant Bicycles,Standard,medium,large,$709.48,0601 Stephen Place,2292.0,NSW,Australia,
6,25,2339,08-03-2022,T,F,Approved,Giant Bicycles,Road,medium,medium,$829.65,7174 Thackeray Point,2153.0,NSW,Australia,
7,22,1542,21-04-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$45.26,243 Mosinee Place,2155.0,NSW,Australia,
8,15,2459,15-07-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$13.44,975 Annamark Hill,4034.0,QLD,Australia,
9,67,1305,10-08-2022,F,T,Approved,Solex,Standard,medium,large,$380.74,3 School Place,4124.0,QLD,Australia,
10,12,3262,30-08-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$161.60,2558 Morningstar Center,4221.0,QLD,Australia,
11,5,1986,17-01-2022,F,T,Approved,Trek Bicycles,Mountain,low,medium,$459.71,366 International Way,2170.0,NSW,Australia,
12,61,2783,05-01-2022,T,F,Approved,OHM Cycles,Standard,low,medium,$56.93,13392 Emmet Parkway,2171.0,NSW,Australia,
13,35,1243,26-02-2022,T,F,Approved,Trek Bicycles,Standard,low,medium,$154.40,2 Eliot Lane,2155.0,NSW,Australia,
14,16,2717,10-09-2022,F,T,Approved,Norco Bicycles,Standard,high,small,"$1,479.11",6994 Hanson Place,2580.0,NSW,Australia,
15,12,247,11-06-2022,F,T,Approved,Giant Bicycles,Standard,medium,large,$709.48,2 2nd Plaza,2283.0,NSW,Australia,
16,3,2961,10-10-2022,F,T,Approved,Trek Bicycles,Standard,medium,large,$388.92,8 Roxbury Way,3031.0,VIC,Australia,
17,79,2426,03-04-2022,F,T,Approved,Norco Bicycles,Standard,medium,medium,$818.01,4 Becker Center,2145.0,NSW,Australia,
18,33,1842,02-06-2022,F,T,Approved,Giant Bicycles,Standard,medium,small,"$1,167.18",9649 Cascade Way,2250.0,NSW,Australia,
19,54,2268,06-04-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$13.44,9574 David Lane,3218.0,VIC,Australia,
20,25,3002,28-01-2022,T,F,Approved,Giant Bicycles,Road,medium,medium,$829.65,673 Comanche Parkway,2470.0,NSW,Australia,
21,27,1582,09-10-2022,F,T,Approved,Trek Bicycles,Standard,medium,medium,$388.72,85301 John Wall Road,2101.0,NSW,Australia,
22,37,595,29-06-2022,T,F,Approved,OHM Cycles,Standard,low,medium,$248.82,0278 Elka Place,4305.0,QLD,Australia,
23,37,2001,08-04-2022,T,F,Approved,OHM Cycles,Standard,low,medium,$248.82,3 Bonner Point,2800.0,NSW,Australia,
24,82,515,18-10-2022,F,T,Approved,Giant Bicycles,Road,medium,medium,$829.65,12845 Paget Lane,2026.0,NSW,Australia,
25,89,2822,11-06-2022,F,T,Approved,WeareA2B,Touring,medium,large,$57.74,99216 Oakridge Hill,3124.0,VIC,Australia,
26,64,2596,10-01-2022,F,T,Approved,Trek Bicycles,Standard,medium,large,$596.55,33782 Doe Crossing Terrace,2280.0,NSW,Australia,
27,64,2666,11-04-2022,T,F,Approved,Trek Bicycles,Standard,medium,large,$596.55,0 Knutson Crossing,2151.0,NSW,Australia,
28,19,76,23-12-2021,F,T,Approved,Trek Bicycles,Mountain,low,medium,$459.71,439 Ridgeway Court,4213.0,QLD,Australia,
29,72,3368,13-10-2022,T,F,Approved,Norco Bicycles,Standard,medium,medium,$270.30,2 Roxbury Place,2564.0,NSW,Australia,
30,91,1173,15-03-2022,F,T,Approved,WeareA2B,Standard,low,medium,$513.85,71 Cherokee Hill,2127.0,NSW,Australia,
31,88,2810,05-09-2022,T,F,Approved,Norco Bicycles,Standard,medium,medium,$381.10,453 Gina Avenue,3141.0,VIC,Australia,
32,1,3214,18-02-2022,F,T,Approved,Giant Bicycles,Standard,medium,medium,$954.82,050 Monterey Street,4869.0,QLD,Australia,
33,25,1272,20-03-2022,F,T,Approved,Giant Bicycles,Road,medium,medium,$829.65,26 Portage Junction,4503.0,QLD,Australia,
34,99,2003,28-02-2022,T,F,Approved,Trek Bicycles,Road,low,small,"$1,531.42",064 Fallview Terrace,4500.0,QLD,Australia,
35,0,2171,20-08-2022,F,T,Approved,Norco Bicycles,Road,medium,medium,$376.84,6 Tennyson Place,2138.0,NSW,Australia,
36,92,3356,07-07-2022,F,T,Approved,WeareA2B,Standard,medium,small,"$1,259.36",73 Burrows Court,3121.0,VIC,Australia,
37,14,1040,09-01-2022,F,T,Approved,Solex,Standard,high,large,"$1,105.75",27135 Melvin Plaza,4556.0,QLD,Australia,
38,2,2916,06-12-2021,F,T,Approved,Solex,Standard,medium,medium,$53.62,2 Blue Bill Park Lane,4220.0,QLD,Australia,
39,12,427,12-09-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$161.60,1 Carey Pass,2065.0,NSW,Australia,
40,0,2448,28-11-2022,T,F,Approved,Norco Bicycles,Road,medium,medium,$376.84,11 Dunning Pass,2219.0,NSW,Australia,
41,44,2570,08-05-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$108.76,457 Merry Pass,4812.0,QLD,Australia,
42,79,3398,14-05-2022,F,T,Approved,Solex,Touring,medium,large,$675.03,375 Luster Parkway,2147.0,NSW,Australia,
43,76,488,17-03-2022,F,T,Cancelled,WeareA2B,Standard,low,medium,$513.85,4671 Buell Trail,3564.0,Victoria,Australia,
44,46,165,22-12-2021,F,T,Approved,Solex,Standard,low,medium,$74.51,22371 Miller Trail,2032.0,NSW,Australia,
45,55,2787,07-06-2022,T,F,Approved,Trek Bicycles,Road,medium,large,$598.76,3 Cordelia Place,3018.0,VIC,Australia,
46,66,3053,20-06-2022,F,T,Approved,Solex,Standard,medium,medium,$589.27,274 Ludington Trail,2428.0,NSW,Australia,
47,35,475,07-05-2022,T,F,Approved,Trek Bicycles,Standard,low,medium,$154.40,781 Dorton Avenue,3012.0,Victoria,Australia,
48,81,1305,10-06-2022,T,F,Approved,Solex,Standard,medium,medium,$649.49,3 School Place,4124.0,QLD,Australia,
49,86,1251,17-06-2022,F,T,Approved,OHM Cycles,Standard,medium,medium,$125.07,6 Lerdahl Plaza,4519.0,QLD,Australia,
50,32,3103,10-05-2022,F,T,Approved,Giant Bicycles,Standard,medium,medium,$211.37,32304 Larry Road,4014.0,QLD,Australia,
51,77,3108,24-03-2022,F,T,Approved,Norco Bicycles,Road,medium,large,$795.10,1742 Scott Center,4670.0,QLD,Australia,
